obligation_id,article,paragraph,point,actor,obligation_type,risk_tier,summary,quote,applies_from,applies_from_basis,transitional_note,penalty_basis,legal_practice_relevance,legal_practice_note,cross_references,url,applies_from_as_enacted,applies_from_basis_as_enacted,text_amended_since_coding,coded_from
art-2-9-consumer-product-safety,2,9,,"[""operator-any""]",scope-or-definition,not-tier-specific,The Regulation is without prejudice to other Union legal acts related to consumer protection and product safety.,"""This Regulation is without prejudice to the rules laid down by other Union legal acts related to consumer protection and product safety.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,low,Relevant mainly to legal advice about overlapping regimes rather than to day-to-day legal AI deployment.,[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-10-personal-use,2,10,,"[""natural-person"", ""deployer""]",derogation-or-exemption,not-tier-specific,"Deployer obligations do not apply to natural persons using AI systems in the course of a purely personal, non-professional activity.","""This Regulation does not apply to obligations of deployers who are natural persons using AI systems in the course of a purely personal non-professional activity.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,"The exclusion does not cover professional use by lawyers, legal staff, in-house teams or court personnel.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-11-worker-protection,2,11,,"[""member-state""]",scope-or-definition,not-tier-specific,The Union and Member States may maintain or introduce worker-protective rules on employers’ use of AI and may encourage or allow more favourable collective agreements.,"""This Regulation does not preclude the Union or Member States from maintaining or introducing laws, regulations or administrative provisions which are more favourable to workers in terms of protecting their rights in respect of the use of AI systems by employers, or from encouraging or allowing the application of collective agreements which are more favourable to workers.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,"Law firms, legal departments and courts using workplace AI may also face employment-law rules more protective than the AI Act baseline.",[],https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-12-open-source,2,12,,"[""provider""]",derogation-or-exemption,not-tier-specific,AI systems released under free and open-source licences are excluded unless they are placed on the market or put into service as high-risk systems or systems falling under Article 5 or 50.,"""This Regulation does not apply to AI systems released under free and open-source licences, unless they are placed on the market or put into service as high-risk AI systems or as an AI system that falls under Article 5 or 50.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,medium,"Open-source legal-AI tools can still be in scope if placed on the market or used as high-risk, prohibited-practice or transparency-risk systems.","[""Art. 5"", ""Art. 50""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-2-13-annex-i-limited-application,2,13,,"[""provider"", ""product-manufacturer""]",derogation-or-exemption,high-risk,"For Article 6(1) high-risk systems, specific requirements or obligations in Articles 9 to 15 and 17 to 25 may be limited where Annex I Section A law gives equivalent or higher protection without reducing the overall AI Act level.","""For high-risk AI systems referred to in Article 6(1), the application of specific requirements or obligations laid down in Articles 9 to 15 and 17 to 25 may be limited, where and to the extent that:""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,low,"Mainly affects product-regulated AI supply chains rather than ordinary legal AI, but it can affect providers of AI embedded in regulated products.","[""Art. 6(1)"", ""Annex I Section A"", ""Art. 9-15"", ""Art. 17-25""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_2,,,False,consolidated-2026-07-27
art-4-1-ai-literacy-support,4,1,,"[""provider"", ""deployer""]",requirement,all-ai-systems,"Providers and deployers must take measures to support development of AI literacy for staff and others operating or using AI systems on their behalf, taking role, context and affected persons into account.","""Providers and deployers of AI systems shall take measures to support the development of AI literacy of their staff and other persons dealing with the operation and use of AI systems on their behalf, taking into account their technical knowledge, experience, education and training and the context the AI systems are to be used in, and considering the persons or""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,,,high,"Direct for every law firm, legal team, court or legal-AI vendor whose staff operate or use AI systems.","[""Art. 3(56)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-4-1-no-specific-literacy-guarantee,4,1,limitation,"[""provider"", ""deployer""]",scope-or-definition,all-ai-systems,Article 4 does not require providers or deployers to guarantee any specific level of AI literacy for any individual.,"""This obligation does not require providers or deployers to guarantee any specific level of AI literacy of any individual.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"Clarifies the softened AI-literacy duty for legal employers and vendors: the obligation is to take supporting measures, not to guarantee individual attainment.","[""Art. 3(56)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4,,,False,consolidated-2026-07-27
art-4-2-commission-member-state-support,4,2,,"[""commission"", ""member-state""]",support-measure,all-ai-systems,"The Commission and Member States must support and facilitate provider and deployer efforts on AI literacy, and the Commission must publish practical compliance examples on the Article 62 platform.","""The Commission and the Member States shall support and facilitate the efforts of providers and deployers of AI systems, in particular SMEs, in fulfilling their obligation under paragraph 1 of this Article. For that purpose, the Commission shall publish practical examples of how to comply with that obligation on the single information platform referred to in Article 62(3), point (b).""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,The support and examples will shape how legal practices and legal-AI vendors evidence AI-literacy measures.,"[""Art. 4(1)"", ""Art. 62(3)(b)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4,,,False,consolidated-2026-07-27
art-4-3-board-ai-literacy-recommendations,4,3,,"[""ai-board""]",support-measure,all-ai-systems,"The Board must adopt recommendations, taking European competence frameworks into account, to support AI-literacy promotion and set common objectives.","""The Board shall adopt recommendations, taking into account European competence frameworks, to support the Commission and Member States in the promotion of AI literacy required under paragraph 1, including by setting out common objectives.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,medium,"Board recommendations can inform AI-literacy programmes for legal deployers and legal-AI providers, but they are institutional guidance.","[""Art. 4(1)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4,,,False,consolidated-2026-07-27
art-4a-1-high-risk-special-category-processing,4a,1,,"[""provider""]",derogation-or-exemption,high-risk,High-risk AI providers may exceptionally process special categories of personal data only to the extent strictly necessary for bias detection and correction and subject to safeguards and the listed conditions.,"""To the extent strictly necessary to ensure bias detection and correction in relation to high-risk AI systems in accordance with Article 10(2), points (f) and (g), of this Regulation, providers of such systems may exceptionally process special categories of personal data, subject to appropriate safeguards for the fundamental rights and freedoms of natural persons. In addition to the provisions set""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,Legal-AI vendors providing high-risk judicial or public-sector systems may rely on this narrow processing permission for bias work.,"[""Art. 10(2)(f)"", ""Art. 10(2)(g)"", ""Regulation (EU) 2016/679"", ""Regulation (EU) 2018/1725"", ""Directive (EU) 2016/680""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-a-no-effective-alternative-data,4a,1,a,"[""provider""]",data-governance,high-risk,"Special-category processing for high-risk bias detection and correction is conditioned on the objective not being effectively fulfilled by other data, including synthetic or anonymised data.","""the bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data;""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"Important for legal-AI providers handling sensitive client, litigant, employee or court-user data during bias testing.","[""Art. 10(2)(f)"", ""Art. 10(2)(g)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-b-reuse-security-privacy-limits,4a,1,b,"[""provider""]",data-governance,high-risk,"Special-category data must be subject to technical limits on reuse and state-of-the-art security and privacy-preserving measures, including pseudonymisation.","""the special categories of personal data are subject to technical limitations on the re-use of personal data, and state-of-the-art security and privacy-preserving measures, including pseudonymisation;""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"Legal-AI providers processing sensitive attributes for bias work must account for reuse limits, security and privacy-preserving techniques.","[""Art. 10(2)(f)"", ""Art. 10(2)(g)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-c-access-controls-confidentiality,4a,1,c,"[""provider""]",data-governance,high-risk,"Special-category data must be secured with suitable safeguards, strict access controls and access documentation so only authorised persons with confidentiality obligations can access it.","""the special categories of personal data are subject to measures to ensure that the personal data processed are secured and protected, subject to suitable safeguards, including strict controls and documentation of the access, to avoid misuse and to ensure that only authorised persons have access to those personal data with appropriate confidentiality obligations;""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"Highly relevant where legal-AI providers use sensitive case, client, staff or litigant data to detect or correct bias.","[""Art. 10(2)(f)"", ""Art. 10(2)(g)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-d-no-third-party-transfer,4a,1,d,"[""provider""]",data-governance,high-risk,"Special-category personal data processed under Article 4a(1) must not be transmitted, transferred or otherwise accessed by other parties.","""the special categories of personal data are not transmitted, transferred or otherwise accessed by other parties;""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,Important for legal-AI vendors because sensitive legal datasets may not be shared onward under this bias-processing route.,"[""Art. 10(2)(f)"", ""Art. 10(2)(g)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-e-delete-after-correction-or-retention,4a,1,e,"[""provider""]",data-governance,high-risk,"Special-category personal data must be deleted once the bias is corrected or the data reaches the end of its retention period, whichever occurs first.","""the special categories of personal data are deleted once the bias has been corrected or the personal data has reached the end of its retention period, whichever comes first; and""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"Relevant to legal-AI vendors’ retention of sensitive bias-testing data derived from clients, workers, litigants or public users.","[""Art. 10(2)(f)"", ""Art. 10(2)(g)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-1-f-processing-record-reasons,4a,1,f,"[""provider""]",documentation,high-risk,Records of processing activities must state why special-category processing was strictly necessary for bias detection and correction and why other data could not achieve the objective.,"""the records of processing activities pursuant to Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680 include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases, and why that objective could not be achieved by processing other data.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,Legal-AI providers need records explaining the necessity of sensitive-data processing when relying on Article 4a for bias work.,"[""Regulation (EU) 2016/679"", ""Regulation (EU) 2018/1725"", ""Directive (EU) 2016/680""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-2-other-systems-processing-scope,4a,2,,"[""provider"", ""deployer"", ""gpai-provider""]",derogation-or-exemption,all-ai-systems,"Providers and deployers of other AI systems and models, and deployers of high-risk AI systems, may exceptionally process special categories of personal data only within the Article 4a(2) limits.","""Providers and deployers of other AI systems and models and deployers of high-risk AI systems may exceptionally process special categories of personal data to the extent that:""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,"This can reach law firms, courts and legal-AI vendors that process sensitive data to detect or correct bias in non-high-risk or model contexts.","[""Art. 4a(1)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-2-a-strict-necessity-other-systems,4a,2,a,"[""provider"", ""deployer"", ""gpai-provider""]",data-governance,all-ai-systems,"For other AI systems and models and high-risk deployers, special-category processing must be strictly necessary for bias detection and correction involving likely health, safety, fundamental-rights or discrimination impacts.","""such processing is strictly necessary to ensure bias detection and correction in view of possible biases that are likely to affect the health and safety of persons, have a negative impact on fundamental rights or lead to discrimination prohibited pursuant to Union law, especially where data outputs influence inputs for future operations; and""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,Relevant to legal practices and vendors testing AI outputs that may feed future operations and create discrimination or rights risks.,"[""Art. 4a(1)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-4a-2-b-apply-paragraph-one-safeguards,4a,2,b,"[""provider"", ""deployer"", ""gpai-provider""]",data-governance,all-ai-systems,"The exceptional processing route for other AI systems and models, and for deployers of high-risk systems, requires all Article 4a(1) conditions and safeguards to be applied.","""all of the conditions and safeguards set out in paragraph 1 are applied.""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",,high,Legal deployers and vendors using sensitive data for bias work must import the paragraph 1 safeguards into this broader processing route.,"[""Art. 4a(1)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_4a,,,False,consolidated-2026-07-27
art-5-1a-a-provider-scope-intimate-material,5,1,1a(a),"[""provider"", ""operator-any""]",scope-or-definition,prohibited-practice,"For the new intimate-material and child-sexual-abuse-material prohibitions, placing on the market or putting into service is prohibited only where generation or manipulation is intended or reasonably foreseeable and safeguards are inadequate.","""the placing on the market or putting into service of an AI system that generates or manipulates the material or performance referred to in paragraph 1, first subparagraph, point (ba) or (bb) is only prohibited where: (i) that generation or manipulation is the intended purpose of the AI system; or (ii) the system’s design, training, architecture, capabilities or user-facing functionalities""",2026-12-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",Art. 99(3),high,Defines when legal-AI providers and vendors face the new Article 5(1)(ba) and (bb) market-placement prohibition.,"[""Art. 5(1)(ba)"", ""Art. 5(1)(bb)"", ""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,,,False,consolidated-2026-07-27
art-5-1a-b-deployer-purpose-scope,5,1,1a(b),"[""deployer""]",scope-or-definition,prohibited-practice,"For the new intimate-material and child-sexual-abuse-material prohibitions, use is prohibited only where the deployer uses the system for the purpose of generating or manipulating that material or performance.","""the use of an AI system that generates or manipulates the material or performance referred to in paragraph 1, first subparagraph, points (ba) and (bb) is only prohibited where the deployer uses the system for the purpose of generating or manipulating such material or performance.""",2026-12-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",Art. 99(3),high,"Defines when law firms, courts, investigators or other legal deployers fall within the new use prohibition.","[""Art. 5(1)(ba)"", ""Art. 5(1)(bb)"", ""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,,,False,consolidated-2026-07-27
art-5-1b-non-increased-exposure-exclusion,5,1,1b,"[""operator-any""]",scope-or-definition,prohibited-practice,"For Article 5(1)(ba), manipulation does not include changes that do not increase exposure of depicted intimate parts or alter the nature of depicted sexually explicit activities.","""For the purposes of paragraph 1, first subparagraph, point (ba), an AI system that manipulates material in a way that does not increase the exposure of any depicted intimate parts or alter the nature of any depicted sexually explicit activities shall not constitute manipulation.""",2026-12-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",Art. 99(3),medium,"Relevant to evidence handling, redaction or forensic image work where changes do not increase exposure or alter the sexual nature of depicted activity.","[""Art. 5(1)(ba)"", ""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,,,False,consolidated-2026-07-27
art-5-1-a-subliminal-manipulation,5,1,a,"[""provider"", ""deployer"", ""operator-any""]",prohibition,prohibited-practice,"Providers, deployers and other operators are prohibited from placing on the market, putting into service or using AI systems deploying subliminal, manipulative or deceptive techniques that materially distort decisions and cause or are likely to cause significant harm.","""the placing on the market, the putting into service or the use of an AI system that deploys subliminal techniques beyond a person’s consciousness or purposefully manipulative or deceptive techniques, with the objective, or the effect of materially distorting the behaviour of a person or a group of persons by appreciably impairing their ability to make an informed decision, thereby""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,Art. 111(1)-(2) is without prejudice to Article 5 applying under Art. 113(a).,Art. 99(3),high,"Client-facing or internal legal AI must not manipulate users, witnesses, consumers or staff into harmful decisions.","[""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-5-1-b-vulnerability-exploitation,5,1,b,"[""provider"", ""deployer"", ""operator-any""]",prohibition,prohibited-practice,"Providers, deployers and other operators are prohibited from AI systems that exploit vulnerabilities linked to age, disability or social or economic situation and materially distort behaviour causing or likely causing significant harm.","""the placing on the market, the putting into service or the use of an AI system that exploits any of the vulnerabilities of a natural person or a specific group of persons due to their age, disability or a specific social or economic situation, with the objective, or the effect, of materially distorting the behaviour of that person or a""",2025-02-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,Art. 111(1)-(2) is without prejudice to Article 5 applying under Art. 113(a).,Art. 99(3),high,"Legal services, courts and vendors must avoid AI that exploits vulnerable clients, litigants, witnesses, employees or consumers.","[""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,2025-02-02,Art. 113(a),False,consolidated-2026-07-27
art-5-1-ba-non-consensual-intimate-material,5,1,ba,"[""provider"", ""deployer"", ""operator-any""]",prohibition,prohibited-practice,"Providers, deployers and other operators are prohibited from AI systems that generate or manipulate realistic intimate or sexually explicit material of identifiable natural persons without freely given, specific, informed, unambiguous and explicit consent.","""the placing on the market, the putting into service or the use of an AI system that generates or manipulates realistic images, videos, audio or similar material of an identifiable natural person’s intimate parts, or of an identifiable natural person engaged in sexually explicit activities, without that person’s freely-given, specific, informed, unambiguous and explicit consent for that generation or manipulation;""",2026-12-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",Art. 99(3),high,"Legal practices and vendors must avoid tools that create non-consensual intimate material, including in evidence, investigations, employment or client-facing contexts.","[""Art. 99(3)""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,,,False,consolidated-2026-07-27
art-5-1-bb-child-sexual-abuse-material,5,1,bb,"[""provider"", ""deployer"", ""operator-any""]",prohibition,prohibited-practice,"Providers, deployers and other operators are prohibited from AI systems that generate or manipulate child sexual abuse material or performances within Directive 2011/93/EU, except where a national-law without-right defence applies.","""the placing on the market, the putting into service or the use of an AI system that generates or manipulates material or performance within the meaning of Article 2, points (c) and (e), of Directive 2011/93/EU, except where a ‘without right’ defence applies under national law;""",2026-12-02,Art. 113(a) as amended by Reg. (EU) 2026/1744,"Inserted by Regulation (EU) 2026/1744, in force 2026-07-27.",Art. 99(3),high,"High relevance for legal, investigative and platform-advice contexts involving synthetic or manipulated child sexual abuse material.","[""Art. 99(3)"", ""Directive 2011/93/EU""]",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng#art_5,,,False,consolidated-2026-07-27
