country,country_name,authority,authority_en,role,designated,designation_date,url,source_url,note
GR,Greece,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
HR,Croatia,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
HU,Hungary,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
IE,Ireland,"Minister for Enterprise, Tourism and Employment","Minister for Enterprise, Tourism and Employment",single-point-of-contact,True,,https://enterprise.gov.ie/en/what-we-do/innovation-research-development/artificial-intelligence/eu-ai-act/,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission Single Points of Contact list names this ministry.
IT,Italy,Agenzia per la cybersicurezza nazionale,National Cybersecurity Agency,single-point-of-contact,True,,https://www.acn.gov.it/portale/en/home,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission Single Points of Contact list names ACN.
LT,Lithuania,Inovacijų agentūra,Innovation Agency Lithuania,notifying-authority,True,,https://inovacijuagentura.lt/,https://ai-act-service-desk.ec.europa.eu/en/national-resources,AI Act Service Desk notes the Innovation Agency was designated with notifying-authority functions and to create/supervise the AI sandbox.
LT,Lithuania,Lietuvos Respublikos ryšių reguliavimo tarnyba,Communications Regulatory Authority of the Republic of Lithuania,single-point-of-contact,True,,https://www.rrt.lt/,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission list names RRT; Service Desk notes it is the main market surveillance authority and single contact point.
LU,Luxembourg,Commission nationale pour la protection des données,National Commission for Data Protection,single-point-of-contact,True,,https://cnpd.public.lu/fr.html,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission list marks this Single Point of Contact with an asterisk: national designation decision still pending final adoption.
LV,Latvia,Patērētāju tiesību aizsardzības centrs,Consumer Rights Protection Centre,single-point-of-contact,True,,https://www.ptac.gov.lv/lv,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission Single Points of Contact list names PTAC.
MT,Malta,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
NL,Netherlands,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
NO,Norway,Nasjonal kommunikasjonsmyndighet (Nkom),Norwegian Communications Authority,single-point-of-contact,True,,https://nkom.no/ki/regulering/hvem-handhever,https://nkom.no/ki/regulering/hvem-handhever,EEA: Nkom states the Government decided Nkom will be coordinating market surveillance authority and national contact point for the AI Act in Norway.
PL,Poland,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
PT,Portugal,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
RO,Romania,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
SE,Sweden,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
SI,Slovenia,Agencija za komunikacijska omrežja in storitve Republike Slovenije (AKOS),Agency for Communication Networks and Services of the Republic of Slovenia,single-point-of-contact,True,,https://www.akos-rs.si/,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,Commission list marks this Single Point of Contact with an asterisk: national designation decision still pending final adoption.
SK,Slovakia,Not designated in Commission list,Not designated in Commission list,single-point-of-contact,False,,,https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,The Commission's Single Points of Contact table shows '-' for this Member State; page last updated 26 September 2025.
